Generation,Max,Min,Mean,Std,Cost Time
1,0.2224999964237213,0.029999999329447746,0.10085999220609665,0.03266512230038643,3.388667345046997
2,0.24249999225139618,0.05249999836087227,0.12939999997615814,0.032844558358192444,3.3769595623016357
3,0.29999998211860657,0.06499999761581421,0.15937499701976776,0.0369877927005291,3.37910532951355
4,0.3149999976158142,0.0625,0.1873449981212616,0.03879256919026375,3.3749797344207764
5,0.32749998569488525,0.10749999433755875,0.21622000634670258,0.040100954473018646,3.3739700317382812
6,0.3700000047683716,0.11499999463558197,0.24191498756408691,0.04405275359749794,3.3733973503112793
7,0.4050000011920929,0.1550000011920929,0.27158495783805847,0.043097276240587234,3.3758840560913086
8,0.4375,0.1599999964237213,0.29726001620292664,0.0421878807246685,3.3743739128112793
9,0.45249998569488525,0.1875,0.32152998447418213,0.041800227016210556,3.374131917953491
10,0.4749999940395355,0.22749999165534973,0.3427199721336365,0.04395084083080292,3.3783152103424072
11,0.4749999940395355,0.1850000023841858,0.3587299883365631,0.04242360219359398,3.3785922527313232
12,0.48749998211860657,0.2224999964237213,0.37299999594688416,0.04384660720825195,3.373008966445923
13,0.512499988079071,0.23749999701976776,0.3902749717235565,0.04314639791846275,3.3766121864318848
14,0.5174999833106995,0.2800000011920929,0.41306501626968384,0.043219707906246185,3.373701810836792
15,0.5450000166893005,0.26749998331069946,0.4339999854564667,0.04196307808160782,3.376115322113037
16,0.5525000095367432,0.29999998211860657,0.4464699923992157,0.0410851426422596,3.376124143600464
17,0.5575000047683716,0.3174999952316284,0.4610949754714966,0.04029098153114319,3.3790743350982666
18,0.5625,0.26999998092651367,0.4676149785518646,0.041961878538131714,3.3804359436035156
19,0.5724999904632568,0.3075000047683716,0.47773998975753784,0.04066745936870575,3.3761563301086426
20,0.5824999809265137,0.3400000035762787,0.48690998554229736,0.04070659354329109,3.375361680984497
21,0.6074999570846558,0.32999998331069946,0.4995100200176239,0.03902319446206093,3.377617359161377
